country,region,activeUsers,sessions
United States,Oregon,8,8
Brazil,State of Sao Paulo,6,7
(not set),(not set),5,5
Brazil,State of Pernambuco,3,3
Brazil,State of Rio de Janeiro,3,4
Brazil,State of Santa Catarina,3,3
China,Xinjiang,3,3
Netherlands,Groningen,3,3
Brazil,State of Goias,2,4
Brazil,State of Maranhao,2,2
Brazil,State of Parana,2,2
Brazil,State of Rio Grande do Sul,2,6
China,Heilongjiang,2,2
United States,California,2,2
United States,Virginia,2,2
Brazil,State of Alagoas,1,1
Brazil,State of Amazonas,1,1
Brazil,State of Bahia,1,1
Brazil,State of Sergipe,1,1
China,Beijing,1,1
